PaÃ­s;CÃ³digo ISO paÃ­s;Oficina de registro;Grupo edad;Edad (aÃ±os);Ãrea Conocimiento;Sub Area Conocimiento;Nivel AcadÃ©mico;Estado civil;GÃ©nero;Etnia de la persona;Estatura (CM);LocalizaciÃ³n;Cantidad de personas;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;136;(46.227638, 2.213749);1;
PANAMA;PAN;C. PANAMA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;-1;(8.537981, -80.782127);2;
PANAMA;PAN;C. PANAMA;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;140;(8.537981, -80.782127);1;
NORUEGA;NOR;C. OSLO;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;AFRODESCENDIENTE;-1;(60.472024, 8.468946);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;147;(46.227638, 2.213749);1;
VENEZUELA;VEN;C. CARACAS;ADULTO JOVEN;18;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - PROFESIONAL;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;128;(6.42375, -66.58973);1;
ECUADOR;ECU;C. NUEVA LOJA;ADULTO JOVEN;18;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;AFRODESCENDIENTE;-1;(-1.831239, -78.183406);1;
BRASIL;BRA;C. SAO PAULO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(-14.235004, -51.92528);1;
ITALIA;ITA;C. MILAN;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;FEMENINO;OTRO;-1;(41.87194, 12.56738);1;
REINO UNIDO;GBR;C. LONDRES;ADULTO JOVEN;18;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(55.378051, -3.435973);1;
VENEZUELA;VEN;C. PUERTO ORDAZ;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(6.42375, -66.58973);1;
PANAMA;PAN;C. COLON;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;130;(8.537981, -80.782127);1;
ESTADOS UNIDOS;USA;C. LOS ANGELES;ADULTO JOVEN;18;CIENCIAS DE LA SALUD;ODONTOLOGÃA;NO INDICA;DESCONOCIDO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. LOS ANGELES;ADULTO JOVEN;18;MATEMÃTICAS Y CIENCIAS NATURALES;FÃSICA;PREGRADO - TECNOLÃ“GICO;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;FEMENINO;OTRO;140;(9.748917, -83.753428);1;
PERU;PER;C. LIMA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NINGUNO;SOLTERO;MASCULINO;OTRO;-1;(-9.189967, -75.015152);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;AFRODESCENDIENTE;-1;(9.748917, -83.753428);1;
JAPON;JPN;C. TOKIO;ADULTO JOVEN;18;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;150;(36.204824, 138.252924);1;
EMIRATOS ARABES UNIDOS;ARE;C. ABU DHABI;ADULTO JOVEN;18;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;NO INDICA;SOLTERO;FEMENINO;NINGUNA;147;(23.424076, 53.847818);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;18;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ARGENTINA;ARG;C. BUENOS AIRES;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;160;(-38.416097, -63.616672);1;
BOLIVIA;BOL;C. LA PAZ;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;-1;(-16.290154, -63.588653);1;
VENEZUELA;VEN;C. BARINAS;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;-1;(6.42375, -66.58973);1;
VENEZUELA;VEN;C. PUERTO LA CRUZ;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;-1;(6.42375, -66.58973);3;
ARGENTINA;ARG;C. BUENOS AIRES;ADULTO JOVEN;18;CIENCIAS DE LA SALUD;SALUD OCUPACIONAL (HSEQ);POSTGRADO - ESPECIALIZACIÃ“N;SOLTERO;MASCULINO;NINGUNA;-1;(-38.416097, -63.616672);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;110;(40.463667, -3.74922);1;
SUIZA;CHE;C. BERNA;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;139;(46.818188, 8.227512);1;
VENEZUELA;VEN;C. SAN CRISTOBAL;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;FEMENINO;OTRO;-1;(6.42375, -66.58973);2;
ESTADOS UNIDOS;USA;C. CHICAGO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. SAN ANT DE TACHIRA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NINGUNO;DESCONOCIDO;DESCONOCIDO;OTRO;-1;(6.42375, -66.58973);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;140;(40.463667, -3.74922);1;
BOLIVIA;BOL;C. LA PAZ;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(-16.290154, -63.588653);2;
VENEZUELA;VEN;C. MERIDA VEN;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;125;(6.42375, -66.58973);1;
ARUBA;ABW;C. ARUBA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(12.52111, -69.968338);12;
NORUEGA;NOR;C. OSLO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(60.472024, 8.468946);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;DESCONOCIDO;MASCULINO;OTRO;140;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;DESCONOCIDO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ANDORRA;AND;C. BARCELONA;ADULTO JOVEN;18;NO INDICA;NO INDICA;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;130;(42.546245, 1.601554);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;CASADO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;18;BELLAS ARTES;DISEÃ‘O;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;150;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. ATLANTA;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;120;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;18;CIENCIAS DE LA SALUD;ENFERMERÃA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. SAN FNDO ATABAPO;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;144;(6.42375, -66.58973);1;
TAILANDIA;THA;C. BANGKOK;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;-1;(15.870032, 100.992541);1;
VENEZUELA;VEN;C. MARACAIBO;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;153;(6.42375, -66.58973);1;
BRASIL;BRA;C. BRASILIA;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;-1;(-14.235004, -51.92528);2;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;18;NO INDICA;NO INDICA;NINGUNO;CASADO;MASCULINO;NINGUNA;100;(-1.831239, -78.183406);1;
VENEZUELA;VEN;C. CARACAS;ADULTO JOVEN;18;NO INDICA;NO INDICA;NINGUNO;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;-1;(6.42375, -66.58973);1;
ESTADOS UNIDOS;USA;C. LOS ANGELES;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;125;(37.09024, -95.712891);1;
CHILE;CHL;C. SANTIAGO;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;146;(-35.675147, -71.542969);1;
ESTADOS UNIDOS;USA;C. LOS ANGELES;ADULTO JOVEN;18;NINGUNA;NINGUNA;NINGUNO;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;VIUDO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;150;(37.09024, -95.712891);1;
GRECIA;GRC;C. ROMA;ADULTO JOVEN;18;NO INDICA;NO INDICA;NINGUNO;SOLTERO;MASCULINO;NINGUNA;160;(39.074208, 21.824312);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;DESCONOCIDO;DESCONOCIDO;OTRO;-1;(37.09024, -95.712891);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;125;(56.130366, -106.346771);1;
MEXICO;MEX;C. MEXICO;ADULTO JOVEN;18;INGENIERÃA, ARQUITECTURA Y AFINES;ARQUITECTURA;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;-1;(23.634501, -102.552784);1;
ITALIA;ITA;C. MILAN;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;-1;(41.87194, 12.56738);2;
VENEZUELA;VEN;C. MERIDA VEN;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;140;(6.42375, -66.58973);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;-1;(6.42375, -66.58973);2;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;140;(56.130366, -106.346771);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;NINGUNA;-1;(46.227638, 2.213749);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;18;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(-1.831239, -78.183406);1;
MEXICO;MEX;C. MEXICO;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;135;(23.634501, -102.552784);2;
CANADA;CAN;C. VANCOUVER;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;140;(56.130366, -106.346771);1;
POLONIA;POL;C. VARSOVIA;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;-1;(51.919438, 19.145136);1;
VENEZUELA;VEN;C. CARACAS;ADULTO JOVEN;18;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;OTRO;158;(6.42375, -66.58973);1;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;145;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;FEMENINO;OTRO;149;(40.463667, -3.74922);1;
PERU;PER;C. LIMA;ADULTO JOVEN;18;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;OTRO;-1;(-9.189967, -75.015152);1;
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(51.165691, 10.451526);3;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;-1;(40.463667, -3.74922);2;
CANADA;CAN;C. TORONTO;ADULTO JOVEN;18;CIENCIAS DE LA SALUD;SALUD OCUPACIONAL (HSEQ);NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(56.130366, -106.346771);1;
AUSTRALIA;AUS;C. CANBERRA;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(-25.274398, 133.775136);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;154;(37.09024, -95.712891);1;
ITALIA;ITA;C. ROMA;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;OTRO;-1;(41.87194, 12.56738);1;
ARGENTINA;ARG;C. BUENOS AIRES;ADULTO JOVEN;18;NINGUNA;NINGUNA;NINGUNO;SOLTERO;MASCULINO;OTRO;-1;(-38.416097, -63.616672);1;
REINO UNIDO;GBR;C. LONDRES;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;130;(55.378051, -3.435973);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA MECÃNICA Y AFINES;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;18;MATEMÃTICAS Y CIENCIAS NATURALES;OTROS PROGRAMAS DE CIENCIAS NATURALES;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;18;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;POSTGRADO - MAESTRIA;SOLTERO;FEMENINO;NINGUNA;-1;(56.130366, -106.346771);1;
ESTADOS UNIDOS;USA;C. ATLANTA;ADULTO JOVEN;18;NO INDICA;NO INDICA;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
CHILE;CHL;C. SANTIAGO;ADULTO JOVEN;18;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA ADMINISTRATIVA Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(-35.675147, -71.542969);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TECNOLÃ“GICO;SOLTERO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);3;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;-1;(40.463667, -3.74922);1;
PORTUGAL;PRT;C. LISBOA;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;-1;(39.399872, -8.224454);4;
ARGENTINA;ARG;C. BUENOS AIRES;ADULTO JOVEN;18;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;AFRODESCENDIENTE;130;(-38.416097, -63.616672);2;
BRASIL;BRA;C. BRASILIA;ADULTO JOVEN;18;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;PALENQUERO DE SAN BASILIO;-1;(-14.235004, -51.92528);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;18;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;POSTGRADO - MAESTRIA;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;18;CIENCIAS DE LA SALUD;ODONTOLOGÃA;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
